STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMAX,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMIN,Measurement Flag,Quality Flag,Source Flag,Time of Observation
GHCND:US1SCBK0029,PINEVILLE 0.3 SSE SC US,23.5,33.4249,-80.0267,20160227,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0029,PINEVILLE 0.3 SSE SC US,23.5,33.4249,-80.0267,20160229,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0029,PINEVILLE 0.3 SSE SC US,23.5,33.4249,-80.0267,20160301,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0029,PINEVILLE 0.3 SSE SC US,23.5,33.4249,-80.0267,20160302,0.12, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0029,PINEVILLE 0.3 SSE SC US,23.5,33.4249,-80.0267,20160304,1.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0029,PINEVILLE 0.3 SSE SC US,23.5,33.4249,-80.0267,20160307,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0029,PINEVILLE 0.3 SSE SC US,23.5,33.4249,-80.0267,20160311,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0029,PINEVILLE 0.3 SSE SC US,23.5,33.4249,-80.0267,20160325,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0029,PINEVILLE 0.3 SSE SC US,23.5,33.4249,-80.0267,20160327,0.36, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0029,PINEVILLE 0.3 SSE SC US,23.5,33.4249,-80.0267,20160328,0.78, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0029,PINEVILLE 0.3 SSE SC US,23.5,33.4249,-80.0267,20160330,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
